"subject","trial","SCR_delta","SCL_delta","RR_delta","IBI_delta","RSA_delta","MAP_delta","LVET_delta","CO_delta","PEP_delta","TPR_delta"
"sub-232",4,"-0.72663334"," 1.14897894"," 0.66366581"," 0.6571130"," 0.86258196"," 0.10683520","-0.19336953","-0.42278446","-0.11879454"," 0.22653924"
"sub-233",1," 1.32284531","-1.29615422"," 0.8653428759","-0.03144627","-0.17034693"," 0.82186090"," 0.07783872"," 0.513869791","-0.702466435"," 0.32036804"
"sub-233",2," 1.00754090","-1.15379154","-0.50518961","-0.351499792","-1.530219761"," 0.89118587","-0.02547871"," 1.22144556","-0.799745084"," 0.22014815"
"sub-233",3," 1.9534541"," 1.147330698"," 1.053346003","-0.43743846","-0.80225355"," 0.82409122","-0.15462550"," 1.38832734","-1.286138329"," 0.150560420"
"sub-233",4," 0.53458429"," 1.76415999","-0.16730337","-0.1221116"," 0.22167711"," 0.84030324","-0.38708972"," 0.30236786","-0.41063049"," 0.37138822"
"sub-234",1,"-0.33250283","-0.48363195","-1.0483453561"," 0.36830991"," 0.58907978"," 1.06695184"," 0.98186624","-1.547244878","-0.070155216"," 2.18239933"
"sub-234",2,"-0.01719842"," 0.36190771"," 0.69420201","-0.323455973"," 0.952359393",NA," 0.69774331"," 1.12748457","-0.264712514",NA
"sub-234",3," 1.2440192"," 1.428824759","-0.527669639","-0.88390990"," 0.15771369"," 0.51055114"," 0.46527909"," 2.22543338","-0.751105759","-1.463238609"
"sub-234",4," 0.61341039"," 0.38743864"," 0.44062720","-0.3307526"," 0.73921405"," 0.82667856"," 0.10366808"," 0.37308306"," 0.12440208","-0.42525814"
"sub-235",1,"-0.80545944",NA," 0.3580038297","-2.58397756","-0.31051169","-1.68643704","-0.88430485"," 2.048720144","-1.286138329","-0.10307013"
"sub-235",2,"-0.80545944",NA,"-1.35612534","-1.453322143"," 1.742498924","-0.72655259","-1.32340393"," 4.53265080","-1.577974276","-0.12367914"
"sub-235",3,"-0.8054594",NA,"-0.648909148","-1.71599583"," 1.23479328","-0.99221777","-1.45255072"," 3.03294982","-0.605187786","-0.064088414"
"sub-235",4,"-0.80545944",NA,"-0.10339648","-0.6798740"," 1.94810616","-0.98438835","-0.29022962"," 1.38668423","-0.41063049"," 0.05104171"
"sub-237",1,"-0.64780724"," 1.01759682","-1.2478406253","-0.81439749","-2.27716339"," 0.29382333","-0.64538329","-0.369477921","-0.264712514"," 0.41015146"
"sub-237",2,"-0.64780724","-0.64362074"," 0.27606619","-0.498484354","-2.235958775","-0.27187537","-0.80035944","-0.97535601"," 0.027123433"," 0.48354621"
"sub-237",3," 0.2981060"," 0.579013120","-1.208032462","-0.18331810","-1.09815898","-0.42221798","-0.10296678","-0.72261889","-0.070155216"," 0.363609726"
"sub-237",4,"-0.33250283","-0.62913135","-1.75647723","-0.4569234","-1.14060687","-0.16033158","-0.25794293","-0.48952168"," 0.31895938"," 0.33963361"
